,Case Number,Month,Year,Country,Activity,Injury
107,2015.12.21.a,December,2015,BRAZIL,Diving,Arm
108,2015.12.19,December,2015,OTHER,OTHER,FATAL
109,2015.12.13,December,2015,AUSTRALIA,Fishing,No injury
110,2015.12.11,December,2015,BAHAMAS,Fishing,Leg
111,2015.12.08,December,2015,SOUTH AFRICA,Swimming,Arm
112,2015.11.16,November,2015,USA,Surfing,Leg
113,2015.11.15.b,November,2015,USA,Swimming,Leg
114,2015.11.15.a,November,2015,USA,Surfing,Arm
115,2015.11.10,November,2015,AUSTRALIA,Surfing,Leg
116,2015.12.23,December,2015,USA,Surfing,Leg
117,2015.11.03,November,2015,USA,Swimming,Leg
118,2015.11.01.b,November,2015,USA,Shore,Leg
119,2015.11.01.a,November,2015,MOZAMBIQUE,Fishing,Arm
120,2015.10.30,October,2015,AUSTRALIA,Fishing,No injury
121,2015.10.28.a,October,2015,USA,Water sports,Leg
122,2015.10.25,October,2015,SOUTH AFRICA,Surfing,Leg
123,2015.10.21,October,2015,USA,Surfing,Arm
124,2015.10.19,October,2015,USA,Surfing,Leg
125,2015.10.17.c,October,2015,MOZAMBIQUE,Fishing,FATAL
126,2015.10.17.b,October,2015,USA,Surfing,Leg
127,2015.10.17.a,October,2015,USA,Swimming,Leg
128,2015.10.13,October,2015,USA,Fishing,No injury
129,2015.10.09.b,October,2015,USA,Water sports,Arm
130,2015.10.09.a,October,2015,USA,Surfing,Leg
131,2015.10.08,October,2015,MOZAMBIQUE,Fishing,Arm
132,2015.10.07,October,2015,AUSTRALIA,Surfing,Leg
133,2015.10.05.b,October,2015,USA,Water sports,Leg
134,2015.10.05.a,October,2015,USA,Shore,Leg
135,2015.10.04,October,2015,USA,Surfing,Arm
136,2015.09.29,September,2015,USA,Surfing,Leg
137,2015.09.26,September,2015,AUSTRALIA,Diving,Leg
138,2015.09.24,September,2015,USA,Fishing,No injury
139,2015.09.20.d,September,2015,USA,Surfing,Leg
140,2015.09.20.c,September,2015,USA,Fishing,Leg
141,2015.09.20.b,September,2015,USA,Shore,Leg
142,2015.09.20.a,September,2015,USA,Fishing,Arm
143,2015.09.18,September,2015,USA,Swimming,Leg
144,2015.09.17,September,2015,USA,Surfing,Leg
145,2015.09.08,September,2015,AUSTRALIA,Surfing,Arm
146,2015.09.06,September,2015,USA,Shore,No injury
147,2015.09.05,September,2015,USA,Fishing,Leg
148,2015.09.04,September,2015,AUSTRALIA,Surfing,Leg
149,2015.09.03,September,2015,USA,Unknown,Leg
150,2015.09.01,September,2015,OTHER,Shore,Leg
151,2015.09.00,September,2015,FIJI,Fishing,Leg
152,2015.08.29.b,August,2015,USA,Surfing,No injury
153,2015.08.29.a,August,2015,USA,Surfing,Leg
154,2015.08.22.b,August,2015,USA,Unknown,Leg
155,2015.08.22.a,August,2015,AUSTRALIA,Surfing,Leg
156,2015.08.20,August,2015,USA,Surfing,Leg
157,2015.08.19,August,2015,USA,Shore,Leg
158,2015.08.18.b,August,2015,USA,Fishing,No injury
159,2015.08.18.a,August,2015,SPAIN,Swimming,No injury
160,2015.08.10,August,2015,USA,Fishing,Arm
161,2015.07.31,July,2015,AUSTRALIA,Surfing,Leg
162,2015.07.26.b,July,2015,USA,Surfing,Leg
163,2015.07.26.a,July,2015,USA,Swimming,Leg
164,2015.07.25,July,2015,AUSTRALIA,Diving,FATAL
165,2015.07.23.b,July,2015,USA,Fishing,No injury
166,2015.07.23.a,July,2015,AUSTRALIA,Surfing,Arm
167,2015.07.22,July,2015,REUNION,Surfing,Arm
168,2015.07.19,July,2015,SOUTH AFRICA,Surfing,No injury
169,2015.07-10,Unknown,2015,USA,Surfing,No injury
170,2015.07.08,July,2015,USA,Swimming,Trunk
171,2015.07.06,July,2015,FRENCH POLYNESIA,Swimming,Trunk
172,2015.07.04.b,July,2015,BAHAMAS,Fishing,Leg
173,2015.07.04.a,July,2015,USA,Unknown,Arm
174,2015.07.03,July,2015,AUSTRALIA,Surfing,No injury
175,2015.07.02,July,2015,AUSTRALIA,Water sports,Leg
176,2015.07.01,July,2015,USA,Swimming,Leg
177,2015.06.30.b,June,2015,AUSTRALIA,Surfing,Arm
178,2015.06.30.a,June,2015,USA,Swimming,Leg
179,2015.06.27.b,June,2015,USA,Swimming,Leg
180,2015.06.27.a,June,2015,SOUTH AFRICA,Water sports,Leg
181,2015.06.26.c,June,2015,USA,Swimming,Leg
182,2015.06.26.b,June,2015,SOUTH AFRICA,Surfing,Leg
183,2015.06.26.a,June,2015,USA,Shore,Leg
184,2015.06.25.R,June,2015,AUSTRALIA,Swimming,Arm
185,2015.06.25,June,2015,USA,Surfing,Trunk
186,2015.06.24.b,June,2015,USA,Swimming,Leg
187,2015.06.24.a,June,2015,AUSTRALIA,Surfing,Leg
188,2015.06.23,June,2015,USA,Shore,Leg
189,2015.06.19,June,2015,OTHER,Fishing,Arm
190,2015.06.17,June,2015,USA,Swimming,Leg
191,2015.06.14.b,June,2015,USA,Shore,Arm
192,2015.06.14.a,June,2015,USA,Shore,Leg
193,2015.06.13,June,2015,USA,Unknown,Leg
194,2015.06.11,June,2015,USA,Water sports,Leg
195,2015.06.07,June,2015,USA,Shore,Leg
196,2015.06.05,June,2015,USA,OTHER,Arm
197,2015.06.01,June,2015,REUNION,Surfing,Arm
198,2015.05.29.b,May,2015,USA,Shore,Leg
199,2015.05.29.a,May,2015,USA,Shore,Leg
200,2015.05.25,May,2015,FRENCH POLYNESIA,Fishing,Arm
201,2015.05.24,May,2015,USA,Swimming,Leg
202,2015.05.20,May,2015,USA,Surfing,Leg
203,2015.05.15,May,2015,USA,Unknown,Leg
204,2015.05.09,May,2015,NEW CALEDONIA,Diving,FATAL
205,2015.05.07,May,2015,USA,Swimming,Leg
206,2015.05.03,May,2015,AUSTRALIA,Surfing,Arm
207,2015.05.02,May,2015,SOUTH AFRICA,Diving,Leg
208,2015.04.29,April,2015,USA,Diving,FATAL
209,2015.04.26,April,2015,USA,Shore,Leg
210,2015.04.25,April,2015,AUSTRALIA,Surfing,Leg
211,2015.04.24.c,April,2015,AUSTRALIA,Surfing,No injury
212,2015.04.13,April,2015,USA,OTHER,Arm
213,2015.04.11,April,2015,AUSTRALIA,Water sports,Leg
214,2015.04.12,April,2015,REUNION,Surfing,FATAL
215,2015.03.31,March,2015,BRAZIL,Surfing,Leg
216,2015.04.03,April,2015,USA,Fishing,Trunk
217,2015.03.29,March,2015,ITALY,Diving,FATAL
218,2015.03.26,March,2015,SOUTH AFRICA,Fishing,No injury
219,2015.03.21,March,2015,EGYPT,Swimming,FATAL
220,2015.03.18,March,2015,USA,Diving,Leg
221,2015.03.16,March,2015,FRENCH POLYNESIA,OTHER,Arm
222,2015.03.11,March,2015,AUSTRALIA,Fishing,OTHER
223,2015.03.10,March,2015,MEXICO,Fishing,Arm
224,2015.03.07,March,2015,FRENCH POLYNESIA,Swimming,Leg
225,2015.02.15,February,2015,ATLANTIC OCEAN,Water sports,No injury
226,2015.02.14,February,2015,REUNION,Swimming,FATAL
227,2015.02.09,February,2015,AUSTRALIA,Surfing,FATAL
228,2015.02.08,February,2015,AUSTRALIA,Surfing,Trunk
229,2015.02.05,February,2015,AUSTRALIA,Surfing,Leg
230,2015.01.30,January,2015,AUSTRALIA,Water sports,No injury
231,2015.01.27,January,2015,USA,Fishing,Leg
232,2015.01.24,January,2015,AUSTRALIA,Surfing,No injury
233,2015.01.19.b,January,2015,USA,Fishing,No injury
234,2015.01.19.a,January,2015,AUSTRALIA,Surfing,OTHER
235,2015.01.17,January,2015,AUSTRALIA,Fishing,No injury
236,2015.01.16,January,2015,AUSTRALIA,OTHER,Arm
237,2015.01.08,January,2015,USA,Swimming,OTHER
238,2015.01.06,January,2015,BAHAMAS,Diving,OTHER
239,2015.01.03,January,2015,SOUTH AFRICA,Surfing,Leg
240,2015.01.01,January,2015,USA,Unknown,Leg
241,2014.12.29.b,December,2014,AUSTRALIA,Surfing,Leg
242,2014.12.29.a,December,2014,AUSTRALIA,Fishing,FATAL
243,2014.12.28.d,December,2014,GREECE,Unknown,OTHER
244,2014.12.28.c,December,2014,SOUTH AFRICA,Swimming,Leg
245,2014.12.28.b,December,2014,USA,Surfing,Leg
246,2014.12.28.a,December,2014,AUSTRALIA,Fishing,Leg
247,2014.12.23.R,December,2014,JAPAN,Diving,No injury
248,2014.12.15,December,2014,AUSTRALIA,Fishing,FATAL
249,2014.12.03.R,December,2014,SPAIN,Fishing,Arm
250,2014.11.29,November,2014,AUSTRALIA,Surfing,Leg
251,2014.11.20,November,2014,OTHER,Fishing,Arm
252,2014.11.19,November,2014,AUSTRALIA,Fishing,No injury
253,2014.11.16,November,2014,USA,Surfing,Arm
254,2014.11.17,November,2014,USA,Unknown,No injury
255,2014.11.13,November,2014,USA,Diving,Leg
256,2014.11.10,November,2014,AUSTRALIA,Surfing,Leg
257,2014.11.08,November,2014,USA,Surfing,Arm
258,2014.10.31,October,2014,USA,Surfing,Arm
259,2014.10.30,October,2014,AUSTRALIA,Surfing,Leg
260,2014.10.22,October,2014,USA,Shore,No injury
261,2014.10.20,October,2014,USA,Shore,No injury
262,2014.10.19,October,2014,USA,Water sports,No injury
263,2014.10.18,October,2014,USA,Surfing,No injury
264,2014.10.17,October,2014,AUSTRALIA,Surfing,Leg
265,2014.10.14,October,2014,USA,Shore,Leg
266,2014.10.12,October,2014,USA,Surfing,Arm
267,2014.10.07,October,2014,USA,Fishing,Leg
268,2014.10.11,October,2014,AUSTRALIA,Water sports,No injury
269,2014.10.05.b,October,2014,USA,Surfing,Leg
270,2014.10.05.a,October,2014,USA,Surfing,Leg
271,2014.10.03.b,October,2014,USA,Water sports,No injury
272,2014.10.03.a,October,2014,USA,Water sports,No injury
273,2014.10.02.b,October,2014,USA,Surfing,Leg
274,2014.10.02.a,October,2014,AUSTRALIA,Surfing,Leg
275,2014.09.21,September,2014,USA,Surfing,Leg
276,2014.09.13.R,September,2014,FRENCH POLYNESIA,Fishing,Arm
277,2014.09.13,September,2014,USA,Surfing,OTHER
278,2014.09.09,September,2014,AUSTRALIA,Swimming,FATAL
279,2014.09.06,September,2014,USA,Fishing,Leg
280,2014.09.03,September,2014,USA,Water sports,No injury
281,2014.09.02,September,2014,USA,Fishing,Leg
282,2014.09.00,September,2014,SPAIN,Shore,Arm
283,2014.08.31,August,2014,USA,Surfing,Leg
284,2014.08.29.b,August,2014,USA,Surfing,Leg
285,2014.08.29.a,August,2014,USA,Unknown,OTHER
286,2014.08.28,August,2014,USA,Fishing,Leg
287,2014.08.27.c,August,2014,SPAIN,Swimming,Leg
288,2014.08.27.b,August,2014,USA,Surfing,Arm
289,2014.08.27.a,August,2014,USA,Shore,Leg
290,2014.08.25,August,2014,USA,Fishing,Arm
291,2014.08.24,August,2014,USA,Water sports,Leg
292,2014.08.16,August,2014,AUSTRALIA,Fishing,No injury
293,2014.08.12,August,2014,USA,Shore,Leg
294,2014.08.10,August,2014,USA,Unknown,Leg
295,2014.08.09.R,August,2014,BAHAMAS,Fishing,Leg
296,2014.08.09,August,2014,USA,Swimming,Leg
297,2014.08.08,August,2014,USA,Swimming,Leg
298,2014.08.06,August,2014,USA,Water sports,Leg
299,2014.08.05,August,2014,USA,Swimming,Leg
300,2014.08.02,August,2014,USA,Surfing,Leg
301,2014.08.02,August,2014,USA,Water sports,Leg
302,2014.08.01,August,2014,SOUTH AFRICA,Surfing,Leg
303,2014.08.00,August,2014,OTHER,OTHER,OTHER
304,2014.07.27,July,2014,USA,Swimming,Leg
305,2014.07.22,July,2014,REUNION,Surfing,Leg
306,2014.07.21,July,2014,USA,Shore,Leg
307,2014.07.20,July,2014,SPAIN,Shore,No injury
308,2014.07.16,July,2014,USA,Swimming,Leg
309,2014.07.14,July,2014,USA,Swimming,Leg
310,2014.07.13,July,2014,BAHAMAS,Diving,OTHER
311,2014.07.12,July,2014,USA,Surfing,Arm
312,2014.07.09,July,2014,USA,Surfing,Leg
313,2014.07.05.b,July,2014,USA,Swimming,Trunk
314,2014.07.05.a,July,2014,USA,Surfing,No injury
315,2014.07.03,July,2014,USA,Surfing,Arm
316,2014.06.27.R,June,2014,OTHER,Water sports,OTHER
317,2014.06.25,June,2014,BAHAMAS,Fishing,No injury
318,2014.06.18.b,June,2014,AUSTRALIA,Surfing,No injury
319,2014.06.18.a,June,2014,AUSTRALIA,Water sports,Leg
320,2014.06.17.R,June,2014,AUSTRALIA,OTHER,Arm
321,2014.06.09.c,June,2014,BRAZIL,Fishing,Arm
322,2014.06.09.b,June,2014,USA,Shore,Arm
323,2014.06.09.a,June,2014,AUSTRALIA,Water sports,Trunk
324,2014.06.08,June,2014,JAPAN,Surfing,Arm
325,2014.06.07,June,2014,USA,Swimming,Arm
326,2014.06.01.c,June,2014,USA,Swimming,Leg
327,2014.06.01.b,June,2014,AUSTRALIA,Surfing,Leg
328,2014.06.01.a,June,2014,USA,OTHER,Arm
329,2014.05.27.R,May,2014,AUSTRALIA,Swimming,Leg
330,2014.05.23,May,2014,OTHER,Diving,Leg
331,2014.05.22,May,2014,AUSTRALIA,OTHER,Arm
332,2015.11.20,November,2015,OTHER,Diving,Leg
333,2014.05.15,May,2014,USA,Water sports,Leg
334,2014.05.14,May,2014,AUSTRALIA,Surfing,No injury
335,2014.05.13,May,2014,USA,Shore,Leg
336,2014.05.11,May,2014,USA,Surfing,Leg
337,2014.05.10.R,May,2014,USA,Diving,No injury
338,2014.05.06,May,2014,USA,Swimming,Leg
339,2014.05.01,May,2014,USA,Surfing,Arm
340,2014.04.24,April,2014,AUSTRALIA,Fishing,No injury
341,2014.04.22,April,2014,USA,Swimming,Leg
342,2014.04.15,April,2014,USA,Shore,Leg
343,2014.04.12.R,April,2014,SOUTH AFRICA,OTHER,No injury
344,2014.04.12,April,2014,SOUTH AFRICA,Fishing,Leg
345,2014.04.04.b,April,2014,USA,Surfing,Leg
346,2014.04.04.a,April,2014,USA,Surfing,Leg
347,2014.04.03,April,2014,AUSTRALIA,Swimming,FATAL
348,2014.03.29,March,2014,AUSTRALIA,Diving,OTHER
349,2014.03.22.b,March,2014,SOUTH AFRICA,Swimming,FATAL
350,2014.03.22.a,March,2014,USA,Surfing,Arm
351,2014.03.21,March,2014,USA,Surfing,Leg
352,2014.03.18.c,March,2014,NEW CALEDONIA,Surfing,Leg
353,2014.03.18.b,March,2014,AUSTRALIA,Surfing,OTHER
354,2014.03.13,March,2014,OTHER,Fishing,No injury
355,2014.03.18,March,2014,AUSTRALIA,Unknown,Arm
356,2014.03.12,March,2014,AUSTRALIA,Swimming,Leg
357,2014.03.02,March,2014,USA,Surfing,Leg
358,2014.02.20,February,2014,FRENCH POLYNESIA,Surfing,Leg
359,2014.02.17,February,2014,PAPUA NEW GUINEA,Water sports,No injury
360,2014.02.08,February,2014,AUSTRALIA,Fishing,FATAL
361,2014.02.07.b,February,2014,OTHER,Fishing,OTHER
362,2014.02.07,February,2014,NEW ZEALAND,Surfing,Leg
363,2014.01.26,January,2014,AUSTRALIA,Fishing,Arm
364,2014.01.25,January,2014,NEW ZEALAND,Fishing,Leg
365,2014.01.04,January,2014,JAPAN,OTHER,Leg
366,2014.00.00,Unknown,2014,NEW ZEALAND,OTHER,No injury
367,2013.12.25,December,2013,NEW CALEDONIA,Diving,Leg
368,2013.12.16,December,2013,SOUTH AFRICA,Surfing,Leg
369,2013.12.13,December,2013,OTHER,Fishing,Arm
370,2013.12.11,December,2013,USA,Water sports,Leg
371,2013.12.10,December,2013,USA,Surfing,Leg
372,2013.12.05,December,2013,AUSTRALIA,Surfing,Leg
373,2013.12.02,December,2013,USA,Fishing,FATAL
374,2013.11.30,November,2013,AUSTRALIA,Water sports,FATAL
375,2013.11.29,November,2013,USA,Diving,Leg
376,2013.11.23.a,November,2013,AUSTRALIA,Surfing,FATAL
377,2013.11.22,November,2013,USA,Surfing,No injury
378,2013.11.12,November,2013,AUSTRALIA,Surfing,No injury
379,2013.11.10,November,2013,BAHAMAS,Fishing,Leg
380,2013.11.07.b,November,2013,USA,Water sports,No injury
381,2013.11.07.a,November,2013,USA,Surfing,Leg
382,2013.10.31,October,2013,USA,Water sports,Leg
383,2013.10.28,October,2013,AUSTRALIA,Diving,Arm
384,2013.10.26.b,October,2013,REUNION,Water sports,Leg
385,2013.10.26.a,October,2013,AUSTRALIA,Fishing,No injury
386,2013.10.24,October,2013,AUSTRALIA,Surfing,Leg
387,2013.10.23,October,2013,USA,Diving,Trunk
388,2013.10.20,October,2013,USA,Surfing,No injury
389,2013.10.19,October,2013,USA,Shore,Leg
390,2013.10.11,October,2013,SOUTH AFRICA,Swimming,FATAL
391,2013.10.08,October,2013,AUSTRALIA,Diving,Trunk
392,2013.10.05,October,2013,USA,Surfing,Leg
393,2013.10.05,October,2013,USA,Shore,Arm
394,2013.09.29.b,September,2013,USA,Surfing,Arm
395,2013.09.29.a,September,2013,OTHER,Diving,Arm
396,2013.09.25,September,2013,USA,Shore,Leg
397,2013.09.21.b,September,2013,USA,Swimming,Leg
398,2013.09.21.a,September,2013,USA,Surfing,No injury
399,2013.09.14,September,2013,USA,Swimming,Leg
400,2013.09.12,September,2013,USA,Surfing,Leg
401,2013.09.08,September,2013,USA,Unknown,Unknown
402,2013.09.07.b,September,2013,USA,Surfing,Leg
403,2013.09.07.a,September,2013,USA,Shore,Leg
404,2013.09.02,September,2013,USA,Swimming,Arm
405,2013.09.01.c,September,2013,USA,Unknown,Arm
406,2013.09.01.b,September,2013,BAHAMAS,Unknown,Leg
407,2013.09.01.a,September,2013,USA,OTHER,Leg
408,2013.08.31.b,August,2013,BAHAMAS,Fishing,Leg
409,2013.08.31.a,August,2013,USA,Swimming,Leg
410,2013.08.29,August,2013,USA,Swimming,Trunk
411,2013.08.26,August,2013,OTHER,Fishing,Arm
412,2013.08.25.b,August,2013,USA,Water sports,Leg
413,2013.08.25,August,2013,AUSTRALIA,OTHER,Arm
414,2013.08.18,August,2013,USA,Surfing,Leg
415,2013.08.17,August,2013,USA,Surfing,No injury
416,2013.08.14,August,2013,USA,Diving,FATAL
417,2013.08.13,August,2013,USA,Water sports,No injury
418,2013.08.11,August,2013,USA,Surfing,No injury
419,2013.08.08.R,August,2013,SOUTH AFRICA,OTHER,Unknown
420,2013.08.05,August,2013,USA,Fishing,Leg
421,2013.07.31,July,2013,USA,Diving,Arm
422,2013.07.30,July,2013,USA,Swimming,Leg
423,2013.07.29.c,July,2013,BAHAMAS,Fishing,Leg
424,2013.07.29.b,July,2013,MEXICO,Shore,Trunk
425,2013.07.29.a,July,2013,USA,Surfing,Leg
426,2013.07.28.b,July,2013,BAHAMAS,Fishing,Arm
427,2013.07.28.a,July,2013,BAHAMAS,Diving,OTHER
428,2013.07.22,July,2013,BRAZIL,Swimming,FATAL
429,2013.07.19,July,2013,USA,Surfing,Leg
430,2013.07.17.R,July,2013,USA,Swimming,Leg
