,Case Number,Month,Year,Country,Activity,Injury
1069,2008.01.29,January,2008,SOUTH AFRICA,Surfing,No injury
1070,2008.01.27,January,2008,AUSTRALIA,OTHER,Leg
1071,2008.01.19.R,January,2008,NEW ZEALAND,Shore,OTHER
1072,2008.01.14,January,2008,NEW ZEALAND,OTHER,No injury
1073,2008.01.10,January,2008,USA,Surfing,Leg
1074,2008.00.00.b,Unknown,2008,USA,Fishing,Arm
1075,2008.00.00.a,Unknown,2008,MEXICO,Surfing,Leg
1076,2007.12.21,December,2007,OTHER,Surfing,Leg
1077,2007.12.19,December,2007,OTHER,Diving,OTHER
1078,2007.12.18,December,2007,AUSTRALIA,Surfing,Trunk
1079,2007.12.15,December,2007,AUSTRALIA,Swimming,Arm
1080,2007.12.14,December,2007,AUSTRALIA,Swimming,Arm
1081,2007.12.10,December,2007,USA,Surfing,No injury
1082,2007.12.09,December,2007,NEW ZEALAND,Surfing,No injury
1083,2007.12.07,December,2007,BRAZIL,Fishing,Leg
1084,2007.11.18,November,2007,AUSTRALIA,Fishing,Arm
1085,2007.11.08,November,2007,AUSTRALIA,Surfing,No injury
1086,2007.11.07,November,2007,SOUTH AFRICA,Surfing,Leg
1087,2007.11.06,November,2007,USA,Surfing,Leg
1088,2007.11.04,November,2007,USA,Surfing,Leg
1089,2007.11.03,November,2007,SOUTH AFRICA,Surfing,Leg
1090,2007.11.00,November,2007,MEXICO,Diving,No injury
1091,2007.10.29,October,2007,USA,Swimming,Leg
1092,2007.10.15,October,2007,AUSTRALIA,Surfing,Arm
1093,2007.10.13,October,2007,AUSTRALIA,Fishing,Leg
1094,2007.10.07,October,2007,USA,Surfing,Arm
1095,2007.10.06,October,2007,USA,Surfing,Arm
1096,2007.09.30.c,September,2007,USA,Surfing,Leg
1097,2007.09.30.b,September,2007,PHILIPPINES,OTHER,Leg
1098,2007.09.30.a,September,2007,NEW CALEDONIA,Swimming,FATAL
1099,2007.09.28,September,2007,BAHAMAS,Fishing,Leg
1100,2007.09.27.b,September,2007,USA,Surfing,No injury
1101,2007.09.27.a,September,2007,EGYPT,Swimming,Leg
1102,2007.09.22.b,September,2007,USA,Diving,OTHER
1103,2007.09.22.a,September,2007,USA,Surfing,Leg
1104,2007.09.20,September,2007,USA,Surfing,Leg
1105,2007.09.17,September,2007,SOLOMON ISLANDS,Fishing,Leg
1106,2007.09.16.b,September,2007,USA,Shore,Leg
1107,2007.09.16.a,September,2007,USA,Surfing,No injury
1108,2007.09.13,September,2007,USA,Diving,Trunk
1109,2007.09.08,September,2007,USA,Shore,Leg
1110,2007.09.05,September,2007,USA,Shore,Leg
1111,2007.09.04,September,2007,USA,Shore,Leg
1112,2007.09.03.b,September,2007,USA,OTHER,Arm
1113,2007.09.03.a,September,2007,USA,Swimming,Arm
1114,2007.08.28.b,August,2007,USA,Water sports,Leg
1115,2007.08.28.a,August,2007,USA,Surfing,Leg
1116,2007.08.26,August,2007,USA,Surfing,Arm
1117,2007.08.25,August,2007,USA,Surfing,Arm
1118,2007.08.22,August,2007,USA,Diving,No injury
1119,2007.08.20,August,2007,USA,Fishing,Arm
1120,2007.08.19.c,August,2007,USA,Swimming,Trunk
1121,2007.08.19.b,August,2007,USA,Surfing,Leg
1122,2007.08.19.a.,August,2007,USA,Shore,Leg
1123,2007.08.15,August,2007,USA,Swimming,Trunk
1124,2007.08.12,August,2007,USA,Swimming,Leg
1125,2007.08.11,August,2007,USA,Surfing,Leg
1126,2007.08.09.b,August,2007,USA,Swimming,Leg
1127,2007.08.09.a,August,2007,USA,Water sports,Leg
1128,2007.08.07,August,2007,USA,Swimming,Arm
1129,2007.07.29,July,2007,USA,Surfing,Arm
1130,2007.07.28,July,2007,USA,Surfing,No injury
1131,2007.07.22,July,2007,USA,Surfing,No injury
1132,2007.07.21,July,2007,USA,Fishing,No injury
1133,2007.07.19.b,July,2007,USA,Diving,Leg
1134,2007.07.19.a,July,2007,AUSTRALIA,Shore,Leg
1135,2007.07.18.b,July,2007,USA,Swimming,Leg
1136,2007.07.18.a,July,2007,OTHER,Diving,Arm
1137,2007.07.17.b,July,2007,USA,Swimming,Leg
1138,2007.07.17.a,July,2007,USA,Shore,Leg
1139,2007.07.10,July,2007,BAHAMAS,Fishing,Arm
1140,2007.07.05,July,2007,USA,Surfing,Leg
1141,2007.07.04,July,2007,REUNION,Water sports,Leg
1142,2007.07.00,July,2007,SENEGAL,OTHER,Unknown
1143,2007.06.30.b,June,2007,USA,OTHER,Arm
1144,2007.06.30.a,June,2007,USA,Swimming,Arm
1145,2007.06.25,June,2007,USA,Surfing,Arm
1146,2007.06.24,June,2007,USA,Surfing,No injury
1147,2007.06.17,June,2007,USA,Surfing,Leg
1148,2007.06.12,June,2007,USA,Swimming,Leg
1149,2007.06.05,June,2007,AUSTRALIA,Surfing,Leg
1150,2007.05.26,May,2007,USA,Shore,Leg
1151,2007.05.24,May,2007,USA,OTHER,Leg
1152,2007.05.17.R,May,2007,ENGLAND,Fishing,OTHER
1153,2007.05.16,May,2007,AUSTRALIA,Shore,Leg
1154,2007.05.12,May,2007,AUSTRALIA,Surfing,Leg
1155,2007.05.10,May,2007,USA,Surfing,Leg
1156,2007.05.09.R,May,2007,OTHER,Diving,No injury
1157,2007.05.08,May,2007,AUSTRALIA,Swimming,OTHER
1158,2007.05.07.b,May,2007,USA,Diving,Leg
1159,2007.05.07.a,May,2007,USA,Swimming,Leg
1160,2007.05.04,May,2007,OTHER,OTHER,OTHER
1161,2007.05.00,May,2007,BAHAMAS,OTHER,Arm
1162,2007.04.26,April,2007,AUSTRALIA,Swimming,Leg
1163,2007.04.22,April,2007,USA,Water sports,Leg
1164,2007.04.20,April,2007,USA,Surfing,Arm
1165,2007.04.13.R,April,2007,USA,Fishing,No injury
1166,2007.04.09,April,2007,NEW CALEDONIA,Surfing,Leg
1167,2007.04.01,April,2007,USA,Shore,Leg
1168,2007.03.31.b,March,2007,USA,Surfing,Leg
1169,2007.03.31.a,March,2007,USA,Unknown,Leg
1170,2007.03.22,March,2007,OTHER,OTHER,FATAL
1171,2007.03.21,March,2007,USA,Surfing,Leg
1172,2007.03.20,March,2007,AUSTRALIA,Surfing,Arm
1173,2007.03.14.R,March,2007,USA,Fishing,Arm
1174,2007.03.12,March,2007,AUSTRALIA,Swimming,Leg
1175,2007.03.11,March,2007,USA,Surfing,Arm
1176,2007.03.05.R,March,2007,NEW ZEALAND,Fishing,Leg
1177,2007.02.04,February,2007,COSTA RICA,Swimming,FATAL
1178,2007.02.03,February,2007,AUSTRALIA,Water sports,Leg
1179,2007.02.00,February,2007,NEW CALEDONIA,Fishing,Unknown
1180,2007.01.25.b,January,2007,NEW CALEDONIA,Fishing,Leg
1181,2007.01.25.a,January,2007,USA,OTHER,No injury
1182,2007.01.23,January,2007,AUSTRALIA,Diving,Trunk
1183,2007.01.19,January,2007,AUSTRALIA,Swimming,OTHER
1184,2007.01.14,January,2007,SOUTH AFRICA,Surfing,FATAL
1185,2007.01.09,January,2007,AUSTRALIA,Surfing,No injury
1186,2007.01.07,January,2007,USA,Surfing,No injury
1187,2007.01.05,January,2007,USA,Surfing,No injury
1188,2006.12.18,December,2006,AUSTRALIA,Surfing,Leg
1189,2006.12.11,December,2006,NEW ZEALAND,Surfing,Leg
1190,2006.12.10,December,2006,USA,Surfing,No injury
1191,2006.12.06,December,2006,SOUTH AFRICA,Fishing,Leg
1192,2006.12.02,December,2006,AUSTRALIA,Water sports,Leg
1193,2006.11.25,November,2006,PHILIPPINES,OTHER,OTHER
1194,2006.11.11,November,2006,USA,Swimming,Leg
1195,2006.11.09,November,2006,SOUTH AFRICA,Water sports,Arm
1196,2006.10.31,October,2006,USA,Surfing,No injury
1197,2006.10.16,October,2006,USA,Fishing,Leg
1198,2006.10.10,October,2006,USA,Surfing,Leg
1199,2006.10.07,October,2006,USA,Surfing,Leg
1200,2006.10.05,October,2006,USA,Swimming,Leg
1201,2006.10.00.b,October,2006,BAHAMAS,Diving,Leg
1202,2006.10.00.a,October,2006,OTHER,OTHER,FATAL
1203,2006.09.30,September,2006,SOUTH AFRICA,Fishing,No injury
1204,2006.09.29,September,2006,USA,Surfing,Leg
1205,2006.09.18.R,September,2006,USA,Diving,No injury
1206,2006.09.16,September,2006,USA,Surfing,Leg
1207,2006.09.14,September,2006,USA,Swimming,Arm
1208,2006.09.11,September,2006,USA,Surfing,Trunk
1209,2006.09.04,September,2006,AUSTRALIA,Diving,OTHER
1210,2006.09.03.b,September,2006,BRAZIL,Unknown,FATAL
1211,2006.09.03.a,September,2006,USA,Shore,Leg
1212,2006.09.02,September,2006,USA,Swimming,Arm
1213,2006.09.02,September,2006,SOUTH AFRICA,Surfing,No injury
1214,2006.08.29.b,August,2006,USA,Surfing,Leg
1215,2006.08.29.a,August,2006,AUSTRALIA,Surfing,No injury
1216,2006.08.27,August,2006,REUNION,Water sports,Leg
1217,2006.08.22.b,August,2006,BRAZIL,Unknown,OTHER
1218,2006.08.22.a,August,2006,OTHER,Fishing,OTHER
1219,2006.08.20.b,August,2006,ITALY,OTHER,FATAL
1220,2006.08.20.a,August,2006,REUNION,Surfing,FATAL
1221,2006.08.15,August,2006,SOUTH AFRICA,Surfing,No injury
1222,2006.08.13,August,2006,SOUTH AFRICA,OTHER,Leg
1223,2006.08.00.b,August,2006,USA,Shore,Leg
1224,2006.08.00.a,August,2006,REUNION,Fishing,Leg
1225,2006.07.31.R,July,2006,USA,OTHER,No injury
1226,2006.07.31.a,July,2006,USA,Surfing,No injury
1227,2006.07.29.b,July,2006,USA,Water sports,No injury
1228,2006.07.29.a,July,2006,USA,Surfing,Leg
1229,2006.07.28,July,2006,SOUTH AFRICA,Surfing,No injury
1230,2006.07.25,July,2006,USA,Surfing,Leg
1231,2006.07.23,July,2006,USA,Surfing,Leg
1232,2006.07.17.R,July,2006,AUSTRALIA,Unknown,OTHER
1233,2006.07.17,July,2006,USA,Shore,Leg
1234,2006.07.13,July,2006,SPAIN,Swimming,Arm
1235,2006.07.12,July,2006,USA,Swimming,Leg
1236,2006.07.10,July,2006,BRAZIL,Unknown,FATAL
1237,2006.07.09.b,July,2006,USA,Shore,Leg
1238,2006.07.09.a,July,2006,USA,Shore,Leg
1239,2006.07.08.b,July,2006,USA,Water sports,Leg
1240,2006.07.08.a,July,2006,USA,Swimming,Leg
1241,2006.06.30.b,June,2006,USA,Fishing,Arm
1242,2006.06.30.a,June,2006,USA,Fishing,No injury
1243,2006.06.27,June,2006,USA,Water sports,Leg
1244,2006.06.26,June,2006,USA,Fishing,OTHER
1245,2006.06.24,June,2006,BAHAMAS,Fishing,Arm
1246,2006.06.20,June,2006,USA,Surfing,Leg
1247,2006.06.18,June,2006,BRAZIL,Water sports,Leg
1248,2006.06.17,June,2006,USA,Diving,No injury
1249,2006.06.15,June,2006,USA,Surfing,Leg
1250,2006.06.07,June,2006,USA,Shore,Leg
1251,2006.06.05,June,2006,AUSTRALIA,Surfing,No injury
1252,2006.05.31,May,2006,USA,Fishing,Arm
1253,2006.05.28,May,2006,USA,OTHER,No injury
1254,2006.05.27,May,2006,USA,Surfing,No injury
1255,2006.05.24,May,2006,USA,Fishing,Leg
1256,2006.05.21,May,2006,BRAZIL,Surfing,Leg
1257,2006.05.19,May,2006,USA,Diving,Leg
1258,2006.05.10,May,2006,USA,Unknown,Arm
1259,2006.05.04,May,2006,USA,Swimming,Leg
1260,2006.05.02,May,2006,AUSTRALIA,Diving,Trunk
1261,2006.04.23.R,April,2006,USA,Unknown,OTHER
1262,2006.04.21,April,2006,USA,Surfing,Leg
1263,2006.04.19,April,2006,USA,Shore,Leg
1264,2006.04.13,April,2006,USA,Fishing,Leg
1265,2006.04.11,April,2006,AUSTRALIA,Surfing,Leg
1266,2006.04.09.b,April,2006,SOUTH AFRICA,Water sports,Leg
1267,2006.04.09.a,April,2006,BRAZIL,Swimming,Leg
1268,2006.04.03,April,2006,USA,Shore,Leg
1269,2006.03.28.R,March,2006,OTHER,Fishing,FATAL
1270,2006.03.23,March,2006,USA,Surfing,Leg
1271,2006.03.22,March,2006,SOUTH AFRICA,Swimming,FATAL
1272,2006.03.19,March,2006,FIJI,Surfing,Arm
1273,2006.03.15,March,2006,AUSTRALIA,Surfing,No injury
1274,2006.02.27,February,2006,USA,Shore,Leg
1275,2006.02.23,February,2006,USA,Diving,FATAL
1276,2006.02.13,February,2006,AUSTRALIA,Shore,Leg
1277,2006.02.12.b,February,2006,AUSTRALIA,Swimming,Arm
1278,2006.02.12.a,February,2006,AUSTRALIA,Fishing,No injury
1279,2006.02.08,February,2006,SOUTH AFRICA,Surfing,Leg
1280,2006.02.01.b,February,2006,TONGA,Swimming,Leg
1281,2006.02.01.a,February,2006,USA,Water sports,No injury
1282,2006.01.28.R,January,2006,ATLANTIC OCEAN,Water sports,No injury
1283,2006.01.25,January,2006,SOUTH AFRICA,Fishing,Arm
1284,2006.01.23,January,2006,ATLANTIC OCEAN,Water sports,No injury
1285,2006.01.18,January,2006,USA,Surfing,No injury
1286,2006.01.15,January,2006,AUSTRALIA,Diving,Arm
1287,2006.01.11,January,2006,BAHAMAS,Diving,No injury
1288,2006.01.07,January,2006,AUSTRALIA,Swimming,FATAL
1289,2006.01.04,January,2006,USA,Surfing,Arm
1290,2006.01.01,January,2006,SOUTH AFRICA,Fishing,Arm
1291,2005.12.24,December,2005,USA,Surfing,Leg
1292,2005.12.21,December,2005,USA,Swimming,Arm
1293,2005.12.20,December,2005,ATLANTIC OCEAN,Water sports,No injury
1294,2005.12.11,December,2005,AUSTRALIA,Fishing,Arm
1295,2005.12.05.R,December,2005,AUSTRALIA,Fishing,No injury
1296,2005.11.29.R,November,2005,USA,Surfing,Leg
1297,2005.11.27,November,2005,USA,Surfing,No injury
1298,2005.11.25.c,November,2005,AUSTRALIA,Fishing,No injury
1299,2005.11.25.b,November,2005,AUSTRALIA,Surfing,Leg
1300,2005.11.25.a,November,2005,SOUTH AFRICA,Surfing,Arm
1301,2005.11.24,November,2005,NEW CALEDONIA,Fishing,Arm
1302,2005.11.21,November,2005,USA,Surfing,Leg
1303,2005.11.20,November,2005,USA,Surfing,Leg
1304,2005.11.16.R,November,2005,NEW CALEDONIA,Unknown,No injury
1305,2005.11.15,November,2005,SOUTH AFRICA,Fishing,Leg
1306,2005.11.12,November,2005,USA,Surfing,Leg
1307,2005.11.02.b,November,2005,USA,Surfing,No injury
1308,2005.11.02.a,November,2005,USA,Surfing,No injury
1309,2005.10.29,October,2005,USA,Shore,Leg
1310,2005.10.25,October,2005,OTHER,Shore,Leg
1311,2005.10.22,October,2005,SOUTH AFRICA,Surfing,Leg
1312,2005.10.21,October,2005,USA,Surfing,No injury
1313,2005.10.19,October,2005,USA,Surfing,Leg
1314,2005.10.15,October,2005,USA,Shore,Leg
1315,2005.10.13,October,2005,USA,Surfing,No injury
1316,2005.10.11,October,2005,OTHER,Diving,No injury
1317,2005.10.06,October,2005,USA,Surfing,Leg
1318,2005.10.03,October,2005,BAHAMAS,Diving,No injury
1319,2005.10.01,October,2005,SOUTH AFRICA,Surfing,No injury
1320,2005.09.27.R,September,2005,AUSTRALIA,Surfing,No injury
1321,2005.09.24,September,2005,AUSTRALIA,Surfing,Leg
1322,2005.09.23,September,2005,AUSTRALIA,Surfing,No injury
1323,2005.09.22,September,2005,USA,Surfing,Leg
1324,2005.09.20,September,2005,USA,Surfing,Leg
1325,2005.09.11,September,2005,USA,Surfing,FATAL
1326,2005.09.07,September,2005,AUSTRALIA,Shore,Leg
1327,2005.09.05,September,2005,USA,Shore,Leg
1328,2005.09.04.a,September,2005,AUSTRALIA,Surfing,Leg
1329,2005.09.02.b,September,2005,USA,Surfing,Leg
1330,2005.09.02.a,September,2005,OTHER,OTHER,FATAL
1331,2005.08.24.b,August,2005,AUSTRALIA,Diving,FATAL
1332,2005.08.24.a,August,2005,USA,Surfing,Leg
1333,2005.08.22,August,2005,USA,Swimming,Leg
1334,2005.08.21,August,2005,USA,Swimming,Arm
1335,2005.08.19,August,2005,USA,Shore,Leg
1336,2005.08.14,August,2005,SOUTH AFRICA,Unknown,Leg
1337,2005.08.12,August,2005,USA,Surfing,Arm
1338,2005.08.06,August,2005,USA,Swimming,Leg
1339,2005.08.01,August,2005,OTHER,Fishing,FATAL
1340,2005.07.27,July,2005,USA,Shore,Arm
1341,2005.07.23,July,2005,USA,Surfing,Leg
1342,2005.07.22,July,2005,USA,Surfing,Leg
1343,2005.07.17.b,July,2005,OTHER,Swimming,FATAL
1344,2005.07.17.a,July,2005,OTHER,Diving,OTHER
1345,2005.07.15.R,July,2005,AUSTRALIA,Unknown,Arm
1346,2005.07.15,July,2005,USA,Swimming,Arm
1347,2005.07.13,July,2005,USA,Water sports,Leg
1348,2005.07.01,July,2005,USA,Shore,Leg
1349,2005.06.27,June,2005,USA,Fishing,Leg
1350,2005.06.25,June,2005,USA,Swimming,Leg
1351,2005.06.22,June,2005,VANUATU,Swimming,FATAL
1352,2005.06.21,June,2005,OTHER,Surfing,Leg
1353,2005.06.18,June,2005,USA,Swimming,No injury
1354,2005.06.16,June,2005,USA,Swimming,Leg
1355,2005.06.13,June,2005,OTHER,Diving,Leg
1356,2005.06.07,June,2005,USA,Water sports,Leg
1357,2005.06.05,June,2005,USA,Surfing,Leg
1358,2005.06.04,June,2005,SOUTH AFRICA,Fishing,FATAL
1359,2005.06.02,June,2005,USA,Shore,Leg
1360,2005.05.28,May,2005,USA,Swimming,Leg
1361,2005.05.27,May,2005,USA,Swimming,Arm
1362,2005.05.25,May,2005,SOUTH AFRICA,Surfing,Leg
1363,2005.05.15,May,2005,AUSTRALIA,Fishing,Leg
1364,2005.05.14,May,2005,USA,Water sports,No injury
1365,2005.05.03,May,2005,OTHER,Fishing,Leg
1366,2005.05.02.R,May,2005,USA,OTHER,No injury
1367,2005.05.02,May,2005,USA,Surfing,No injury
1368,2005.04.25,April,2005,AUSTRALIA,Fishing,Leg
1369,2005.04.17.R,April,2005,AUSTRALIA,Unknown,OTHER
1370,2005.04.16.b,April,2005,AUSTRALIA,Fishing,No injury
1371,2005.04.16.a,April,2005,AUSTRALIA,Surfing,No injury
1372,2005.04.13,April,2005,USA,Shore,Leg
1373,2005.04.09,April,2005,USA,Surfing,Leg
1374,2005.04.07,April,2005,USA,Surfing,Leg
1375,2005.04.06,April,2005,USA,Unknown,Leg
1376,2005.04.06,April,2005,OTHER,Diving,Leg
1377,2005.03.28,March,2005,SOUTH AFRICA,Surfing,Leg
1378,2005.03.27.R,March,2005,AUSTRALIA,Surfing,No injury
1379,2005.03.25,March,2005,OTHER,Surfing,Leg
1380,2005.03.19,March,2005,AUSTRALIA,Diving,FATAL
1381,2005.03.12,March,2005,USA,Diving,Arm
1382,2005.03.10,March,2005,SOUTH AFRICA,Unknown,OTHER
1383,2005.03.09,March,2005,NEW ZEALAND,Fishing,No injury
1384,2005.03.05,March,2005,SOLOMON ISLANDS,Diving,Leg
1385,2005.02.26,February,2005,AUSTRALIA,Swimming,Arm
1386,2005.02.22,February,2005,USA,Fishing,Trunk
1387,2005.02.16,February,2005,USA,Surfing,No injury
1388,2005.02.13,February,2005,USA,Fishing,Arm
1389,2005.02.04,February,2005,BRAZIL,Surfing,Leg
1390,2005.01.20,January,2005,CUBA,Swimming,Leg
1391,2005.01.19,January,2005,AUSTRALIA,Fishing,No injury
1392,2005.01.14,January,2005,AUSTRALIA,Water sports,No injury
1393,2005.01.08,January,2005,NEW ZEALAND,Fishing,No injury
1394,2004.12.26,December,2004,SRI LANKA,OTHER,No injury
1395,2004.12.16,December,2004,AUSTRALIA,Surfing,FATAL
1396,2004.12.11,December,2004,AUSTRALIA,Fishing,Leg
1397,2004.11.27,November,2004,SOUTH AFRICA,Surfing,Leg
1398,2004.11.26,November,2004,SOUTH AFRICA,Shore,Leg
1399,2004.11.15,November,2004,SOUTH AFRICA,Swimming,FATAL
1400,2004.11.11.b,November,2004,USA,Surfing,Leg
1401,2004.11.11.a,November,2004,VANUATU,Diving,Leg
1402,2004.11.00,November,2004,NEW CALEDONIA,Diving,Arm
1403,2004.10.31,October,2004,CUBA,Diving,Arm
1404,2004.10.30.x,October,2004,NEW ZEALAND,Unknown,No injury
1405,2004.10.30.a,October,2004,SOUTH AFRICA,OTHER,Leg
1406,2004.10.21,October,2004,AUSTRALIA,Surfing,Leg
1407,2004.10.10,October,2004,USA,Surfing,Leg
1408,2004.10.09.b,October,2004,USA,Fishing,Arm
1409,2004.10.09.a,October,2004,SOUTH AFRICA,Surfing,Leg
1410,2004.10.06,October,2004,REUNION,Water sports,Leg
1411,2004.10.02,October,2004,USA,Surfing,No injury
1412,2004.10.01,October,2004,USA,Surfing,No injury
1413,2004.09.25,September,2004,AUSTRALIA,Fishing,No injury
1414,2004.09.20,September,2004,USA,Surfing,Leg
1415,2004.09.10,September,2004,USA,Surfing,Leg
1416,2004.09.08,September,2004,BRAZIL,Swimming,FATAL
1417,2004.09.04,September,2004,USA,OTHER,Leg
1418,2004.08.29,August,2004,USA,Shore,Leg
1419,2004.08.21,August,2004,BRAZIL,Swimming,Leg
1420,2004.08.20,August,2004,USA,Surfing,Leg
1421,2004.08.15,August,2004,USA,Diving,FATAL
1422,2004.08.06,August,2004,USA,Swimming,Arm
1423,2004.08.03,August,2004,AUSTRALIA,Fishing,Leg
1424,2004.08.00,August,2004,SOUTH AFRICA,Fishing,No injury
1425,2004.07.31,July,2004,USA,Surfing,Leg
1426,2004.07.30,July,2004,OTHER,Fishing,Leg
1427,2004.07.28,July,2004,USA,Surfing,Leg
1428,2004.07.27.b,July,2004,USA,Swimming,Arm
1429,2004.07.27.a,July,2004,USA,Swimming,Leg
1430,2004.07.25,July,2004,USA,Fishing,Leg
1431,2004.07.19.R,July,2004,AUSTRALIA,Fishing,No injury
1432,2004.07.15,July,2004,JAPAN,Fishing,Trunk
1433,2004.07.10,July,2004,AUSTRALIA,Surfing,Leg
1434,2004.07.02.b,July,2004,EGYPT,Diving,Arm
1435,2004.07.02.a,July,2004,USA,Shore,Leg
1436,2004.06.26.b,June,2004,USA,Surfing,No injury
1437,2004.06.26.a,June,2004,AUSTRALIA,Fishing,No injury
1438,2004.06.14,June,2004,USA,Swimming,Leg
1439,2004.06.10.b,June,2004,AUSTRALIA,Water sports,Leg
1440,2004.06.10.a,June,2004,USA,Swimming,Arm
1441,2004.06.02,June,2004,SOUTH AFRICA,Swimming,Leg
1442,2004.05.29,May,2004,USA,Shore,Leg
1443,2004.05.23.b,May,2004,BRAZIL,Swimming,Leg
1444,2004.05.28,May,2004,USA,Surfing,No injury
1445,2004.05.23.a,May,2004,USA,Swimming,Leg
1446,2004.05.22.c,May,2004,USA,Swimming,Leg
1447,2004.05.22.b,May,2004,USA,Unknown,Leg
1448,2004.05.22.a,May,2004,BRAZIL,Shore,Leg
1449,2004.05.18,May,2004,BAHAMAS,Fishing,Arm
1450,2004.05.04,May,2004,USA,Surfing,No injury
1451,2004.05.01,May,2004,BRAZIL,Swimming,FATAL
1452,2004.04.26,April,2004,AUSTRALIA,Diving,Arm
1453,2004.04.22,April,2004,NEW ZEALAND,Fishing,No injury
1454,2004.04.13.b,April,2004,TONGA,Swimming,Leg
1455,2004.04.13.a,April,2004,TONGA,Swimming,Arm
1456,2004.04.07,April,2004,USA,Surfing,Leg
1457,2004.04.05,April,2004,SOUTH AFRICA,Surfing,Leg
1458,2004.04.04,April,2004,USA,Surfing,OTHER
1459,2004.03.31.b,March,2004,USA,Unknown,Leg
1460,2004.03.31.a,March,2004,USA,Surfing,Leg
1461,2004.03.29,March,2004,BRAZIL,Water sports,Leg
1462,2004.03.28,March,2004,USA,Surfing,Leg
1463,2004.03.27.b,March,2004,REUNION,Surfing,Leg
1464,2004.03.27.a,March,2004,USA,Swimming,Arm
1465,2004.03.24,March,2004,USA,Diving,Leg
1466,2004.03.22,March,2004,NEW ZEALAND,Fishing,No injury
1467,2004.03.16,March,2004,USA,Surfing,No injury
1468,2004.03.06,March,2004,AUSTRALIA,Fishing,Leg
1469,2004.02.29,February,2004,BRAZIL,Swimming,Leg
1470,2004.02.26,February,2004,NEW ZEALAND,Surfing,Leg
1471,2004.02.21,February,2004,AUSTRALIA,Swimming,Leg
1472,2004.02.16,February,2004,AUSTRALIA,Fishing,OTHER
1473,2004.02.14,February,2004,EGYPT,Diving,FATAL
1474,2004.02.11,February,2004,AUSTRALIA,Diving,Leg
1475,2004.01.25,January,2004,AUSTRALIA,Diving,Leg
1476,2004.01.23,January,2004,OTHER,Surfing,Leg
1477,2004.01.22,January,2004,NEW ZEALAND,Water sports,No injury
1478,2004.01.21.b,January,2004,OTHER,Swimming,Arm
1479,2004.01.21.a,January,2004,OTHER,Fishing,Leg
1480,2004.01.15.R,January,2004,SOUTH AFRICA,Surfing,No injury
1481,2004.01.12,January,2004,AUSTRALIA,Diving,No injury
1482,2004.01.07,January,2004,SOUTH AFRICA,Surfing,Leg
1483,2004.01.03.b,January,2004,NEW ZEALAND,Fishing,Trunk
1484,2004.01.03.a,January,2004,EGYPT,OTHER,Unknown
1485,2004.00.00,Unknown,2004,AUSTRALIA,Surfing,OTHER
1486,2003.12.31,December,2003,SOUTH AFRICA,Unknown,No injury
1487,2003.12.26,December,2003,USA,Swimming,Leg
1488,2003.12.13.b,December,2003,USA,Swimming,Leg
1489,2003.12.13.a,December,2003,NEW ZEALAND,Swimming,FATAL
1490,2003.12.08,December,2003,AUSTRALIA,Surfing,Leg
1491,2003.11.30.b,November,2003,AUSTRALIA,Swimming,Leg
1492,2003.11.30.a,November,2003,AUSTRALIA,Swimming,Leg
1493,2003.11.27,November,2003,SOUTH AFRICA,Fishing,Arm
1494,2003.11.22,November,2003,USA,Surfing,Leg
1495,2003.11.12.b,November,2003,INDIA,Surfing,Arm
1496,2003.11.12.a,November,2003,USA,Surfing,Arm
1497,2003.11.06.b,November,2003,EGYPT,Diving,Arm
1498,2003.11.06.a,November,2003,SOUTH AFRICA,Surfing,No injury
1499,2003.11.01,November,2003,AUSTRALIA,Shore,Leg
1500,2003.11.00,November,2003,PANAMA,Fishing,Arm
1501,2003.10.31.c,October,2003,USA,Surfing,Leg
1502,2003.10.31.b,October,2003,AUSTRALIA,Surfing,Leg
1503,2003.10.31.a,October,2003,USA,Surfing,Arm
1504,2003.10.27,October,2003,USA,Surfing,Leg
1505,2003.10.24,October,2003,USA,Diving,Arm
1506,2003.10.14,October,2003,USA,Surfing,Leg
1507,2003.10.06,October,2003,USA,Swimming,FATAL
1508,2003.10.05.e,October,2003,USA,Surfing,Arm
1509,2003.10.05.d,October,2003,USA,Surfing,Leg
1510,2003.10.05.c,October,2003,USA,Surfing,Leg
1511,2003.10.05.b,October,2003,USA,Surfing,Leg
1512,2003.10.05.a,October,2003,USA,Fishing,Leg
1513,2003.09.29,September,2003,FIJI,Shore,Trunk
1514,2003.09.28,September,2003,USA,Surfing,Arm
1515,2003.09.21,September,2003,USA,Surfing,Leg
1516,2003.09.19,September,2003,USA,Surfing,Leg
1517,2003.09.17,September,2003,USA,Surfing,Leg
1518,2003.09.14.c,September,2003,USA,Surfing,Leg
1519,2003.09.14.b,September,2003,SOUTH AFRICA,Fishing,No injury
1520,2003.09.14.a,September,2003,USA,Swimming,Leg
1521,2003.09.13.b,September,2003,USA,Water sports,Leg
1522,2003.09.13.a,September,2003,USA,Shore,Leg
1523,2003.09.12,September,2003,SOUTH AFRICA,Water sports,Leg
1524,2003.09.00,September,2003,USA,Fishing,No injury
1525,2003.08.29,August,2003,USA,Fishing,Arm
1526,2003.08.19,August,2003,USA,Swimming,Leg
1527,2003.08.12,August,2003,USA,Swimming,Leg
1528,2003.08.08,August,2003,SOUTH AFRICA,Surfing,No injury
